Service Category,Service Name,Dockerfile Path,Issue Type,Before Path,After Path,Status,Description,Impact
Blockchain,blockchain-api,infrastructure/docker/blockchain/Dockerfile.blockchain-api,COPY Path Error,../../blockchain/api/requirements.txt,../../../blockchain/api/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Blockchain API service now builds successfully
Blockchain,blockchain-api,infrastructure/docker/blockchain/Dockerfile.blockchain-api,COPY Path Error,../../blockchain/api/app/,../../../blockchain/api/app/,✅ Fixed,Source code path corrected for build context,Source code now accessible during build
Blockchain,blockchain-api,infrastructure/docker/blockchain/Dockerfile.blockchain-api,COPY Path Error,../../blockchain/api/,../../../blockchain/api/,✅ Fixed,Complete blockchain API directory path corrected,Full blockchain API source now accessible
Blockchain,blockchain-ledger,infrastructure/docker/blockchain/Dockerfile.blockchain-ledger,COPY Path Error,blockchain/core/requirements.txt,../../../blockchain/core/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Blockchain ledger service now builds successfully
Blockchain,blockchain-ledger,infrastructure/docker/blockchain/Dockerfile.blockchain-ledger,COPY Path Error,blockchain/core/,../../../blockchain/core/,✅ Fixed,Core blockchain directory path corrected,Blockchain core source now accessible
Blockchain,blockchain-ledger,infrastructure/docker/blockchain/Dockerfile.blockchain-ledger,COPY Path Error,blockchain/__init__.py,../../../blockchain/__init__.py,✅ Fixed,Blockchain init file path corrected,Blockchain module initialization now accessible
Blockchain,deployment-orchestrator,infrastructure/docker/blockchain/Dockerfile.deployment-orchestrator,COPY Path Error,blockchain/deployment/requirements.txt,../../../blockchain/deployment/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Deployment orchestrator now builds successfully
Blockchain,contract-compiler,infrastructure/docker/blockchain/Dockerfile.contract-compiler,COPY Path Error,blockchain/deployment/requirements.txt,../../../blockchain/deployment/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Contract compiler now builds successfully
Blockchain,blockchain-governance,infrastructure/docker/blockchain/Dockerfile.blockchain-governance,COPY Path Error,blockchain/core/requirements.txt,../../../blockchain/core/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Blockchain governance now builds successfully
Blockchain,blockchain-vm,infrastructure/docker/blockchain/Dockerfile.blockchain-vm,COPY Path Error,vm/requirements.txt,../../../vm/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Blockchain VM now builds successfully
Blockchain,tron-node-client,infrastructure/docker/blockchain/Dockerfile.tron-node-client,COPY Path Error,payment-systems/tron-node/requirements.tron-client.txt,../../../payment-systems/tron-node/requirements.tron-client.txt,✅ Fixed,Requirements file path corrected for build context,TRON node client now builds successfully
Blockchain,on-system-chain-client,infrastructure/docker/blockchain/Dockerfile.on-system-chain-client,COPY Path Error,blockchain/on_system_chain/requirements.chain-client.txt,../../../blockchain/on_system_chain/requirements.chain-client.txt,✅ Fixed,Requirements file path corrected for build context,On-system chain client now builds successfully
Blockchain,blockchain-sessions-data,infrastructure/docker/blockchain/Dockerfile.blockchain-sessions-data,COPY Path Error,blockchain/on_system_chain/requirements.chain-client.txt,../../../blockchain/on_system_chain/requirements.chain-client.txt,✅ Fixed,Requirements file path corrected for build context,Blockchain sessions data now builds successfully
Blockchain,chain-client,infrastructure/docker/blockchain/Dockerfile.chain-client,COPY Path Error,blockchain/on_system_chain/requirements.chain-client.txt,../../../blockchain/on_system_chain/requirements.chain-client.txt,✅ Fixed,Requirements file path corrected for build context,Chain client now builds successfully
Blockchain,main,infrastructure/docker/blockchain/Dockerfile,COPY Path Error,requirements.txt,../../../requirements.txt,✅ Fixed,Main requirements file path corrected,Main blockchain service now builds successfully
Blockchain,main,infrastructure/docker/blockchain/Dockerfile,COPY Path Error,blockchain/,../../../blockchain/,✅ Fixed,Blockchain source directory path corrected,Blockchain source code now accessible
RDP,rdp-server,infrastructure/docker/rdp/Dockerfile.rdp-server,COPY Path Error,RDP/requirements.txt,../../../RDP/requirements.txt,✅ Fixed,Requirements file path corrected for build context,RDP server now builds successfully
RDP,rdp-server,infrastructure/docker/rdp/Dockerfile.rdp-server,COPY Path Error,RDP/,../../../RDP/,✅ Fixed,RDP source directory path corrected,RDP source code now accessible
RDP,rdp-server,infrastructure/docker/rdp/Dockerfile.rdp-server,COPY Path Error,common/,../../../common/,✅ Fixed,Common utilities path corrected,Common utilities now accessible
RDP,xrdp-integration,infrastructure/docker/rdp/Dockerfile.xrdp-integration,COPY Path Error,RDP/requirements.txt,../../../RDP/requirements.txt,✅ Fixed,Requirements file path corrected for build context,XRDP integration now builds successfully
RDP,xrdp-integration,infrastructure/docker/rdp/Dockerfile.xrdp-integration,COPY Path Error,RDP/,../../../RDP/,✅ Fixed,RDP source directory path corrected,RDP source code now accessible
RDP,xrdp-integration,infrastructure/docker/rdp/Dockerfile.xrdp-integration,COPY Path Error,common/,../../../common/,✅ Fixed,Common utilities path corrected,Common utilities now accessible
RDP,session-host-manager,infrastructure/docker/rdp/Dockerfile.session-host-manager,COPY Path Error,RDP/requirements.txt,../../../RDP/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Session host manager now builds successfully
RDP,rdp-server-manager,infrastructure/docker/rdp/Dockerfile.rdp-server-manager,COPY Path Error,RDP/requirements.txt,../../../RDP/requirements.txt,✅ Fixed,Requirements file path corrected for build context,RDP server manager now builds successfully
Sessions,session-orchestrator,infrastructure/docker/sessions/Dockerfile.session-orchestrator,COPY Path Error,sessions/core/requirements.orchestrator.txt,../../../sessions/core/requirements.orchestrator.txt,✅ Fixed,Requirements file path corrected for build context,Session orchestrator now builds successfully
Sessions,session-orchestrator,infrastructure/docker/sessions/Dockerfile.session-orchestrator,COPY Path Error,sessions/core/orchestrator.py,../../../sessions/core/orchestrator.py,✅ Fixed,Orchestrator source file path corrected,Orchestrator source code now accessible
Sessions,session-orchestrator,infrastructure/docker/sessions/Dockerfile.session-orchestrator,COPY Path Error,sessions/core/,../../../sessions/core/,✅ Fixed,Sessions core directory path corrected,Sessions core source now accessible
Sessions,session-orchestrator,infrastructure/docker/sessions/Dockerfile.session-orchestrator,COPY Path Error,sessions/__init__.py,../../../sessions/__init__.py,✅ Fixed,Sessions init file path corrected,Sessions module initialization now accessible
Sessions,chunker,infrastructure/docker/sessions/Dockerfile.chunker,COPY Path Error,sessions/core/requirements.chunker.txt,../../../sessions/core/requirements.chunker.txt,✅ Fixed,Requirements file path corrected for build context,Session chunker now builds successfully
Sessions,merkle-builder,infrastructure/docker/sessions/Dockerfile.merkle_builder,COPY Path Error,sessions/core/requirements.merkle_builder.txt,../../../sessions/core/requirements.merkle_builder.txt,✅ Fixed,Requirements file path corrected for build context,Merkle builder now builds successfully
Sessions,orchestrator,infrastructure/docker/sessions/Dockerfile.orchestrator,COPY Path Error,sessions/core/requirements.orchestrator.txt,../../../sessions/core/requirements.orchestrator.txt,✅ Fixed,Requirements file path corrected for build context,Session orchestrator now builds successfully
Sessions,session-recorder,infrastructure/docker/sessions/Dockerfile.session-recorder,COPY Path Error,sessions/core/requirements.recorder.txt,../../../sessions/core/requirements.recorder.txt,✅ Fixed,Requirements file path corrected for build context,Session recorder now builds successfully
Sessions,encryptor,infrastructure/docker/sessions/Dockerfile.encryptor,COPY Path Error,sessions/encryption/requirements.encryptor.txt,../../../sessions/encryption/requirements.encryptor.txt,✅ Fixed,Requirements file path corrected for build context,Session encryptor now builds successfully
Payment Systems,tron-client,infrastructure/docker/payment-systems/Dockerfile.tron-client,COPY Path Error,payment-systems/tron-node/requirements.tron-client.txt,../../../payment-systems/tron-node/requirements.tron-client.txt,✅ Fixed,Requirements file path corrected for build context,TRON client now builds successfully
Users,authentication,infrastructure/docker/users/Dockerfile.authentication,COPY Path Error,auth/requirements.txt,../../../auth/requirements.txt,✅ Fixed,Requirements file path corrected for build context,User authentication now builds successfully
Databases,database-backup,infrastructure/docker/databases/Dockerfile.database-backup,COPY Path Error,database/services/backup/requirements-backup.txt,../../../database/services/backup/requirements-backup.txt,✅ Fixed,Requirements file path corrected for build context,Database backup now builds successfully
Databases,database-monitoring,infrastructure/docker/databases/Dockerfile.database-monitoring,COPY Path Error,database/services/monitoring/requirements-monitoring.txt,../../../database/services/monitoring/requirements-monitoring.txt,✅ Fixed,Requirements file path corrected for build context,Database monitoring now builds successfully
Node,dht-node,infrastructure/docker/node/Dockerfile.dht-node,COPY Path Error,node/dht_crdt/requirements.dht-node.txt,../../../node/dht_crdt/requirements.dht-node.txt,✅ Fixed,Requirements file path corrected for build context,DHT node now builds successfully
Tools,openapi-server,infrastructure/docker/tools/Dockerfile.openapi-server,COPY Path Error,03-api-gateway/openapi/requirements.txt,../../../03-api-gateway/openapi/requirements.txt,✅ Fixed,Requirements file path corrected for build context,OpenAPI server now builds successfully
Tools,server-tools,infrastructure/docker/tools/Dockerfile.server-tools,COPY Path Error,common/requirements.txt,../../../common/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Server tools now builds successfully
Tools,tunnel-tools,infrastructure/docker/tools/Dockerfile.tunnel-tools,COPY Path Error,02-network-security/tunnel-tools/requirements.txt,../../../02-network-security/tunnel-tools/requirements.txt,✅ Fixed,Requirements file path corrected for build context,Tunnel tools now builds successfully
Tools,api-server,infrastructure/docker/tools/Dockerfile.api-server,COPY Path Error,03-api-gateway/api/requirements.txt,../../../03-api-gateway/api/requirements.txt,✅ Fixed,Requirements file path corrected for build context,API server now builds successfully
Auth,authentication,infrastructure/docker/auth/Dockerfile.authentication,COPY Path Error,../../auth/requirements.auth.txt,../../../auth/requirements.auth.txt,✅ Fixed,Requirements file path corrected for build context,Authentication service now builds successfully
Auth,authentication,infrastructure/docker/auth/Dockerfile.authentication,COPY Path Error,../../auth/,../../../auth/,✅ Fixed,Authentication source directory path corrected,Authentication source code now accessible
